246205,20383,17159,208663,213897,16325,13739,183833,20771,2230,2146,16395,1623,422,491,710,2361,872,396,1093,2609,92,387,2130,4944,442,0,4502,10
135439,5060,6625,123754,103481,2080,3960,97441,16383,1538,1628,13217,7511,668,536,6307,1909,199,383,1327,826,35,118,673,5329,540,0,4789,5
123862,10264,8668,104930,97920,5211,5170,87539,12995,2405,1400,9190,2727,965,569,1193,3672,907,526,2239,2187,469,461,1257,4361,307,542,3512,10
31936,3555,2884,25497,26129,2254,2122,21753,2971,670,521,1780,459,262,187,10,495,0,0,495,433,0,54,379,1449,369,0,1080,10
255774,12132,10756,232886,215802,9197,8073,198532,19483,1535,986,16962,4006,770,529,2707,4086,222,229,3635,2424,38,277,2109,9973,370,662,8941,5
83634,5535,7437,70662,64559,4207,5457,54895,9299,490,901,7908,240,117,0,123,1537,6,617,914,2352,274,363,1715,5647,441,99,5107,5
1056297,65789,60879,929629,846442,44493,45576,756373,89362,10059,7712,71591,20634,3116,3204,14314,13752,1467,800,11485,14538,2247,1043,11248,71569,4407,2544,64618,5
96412,9084,11218,76110,77193,6362,8813,62018,8048,834,923,6291,1831,405,515,911,2558,475,203,1880,3911,831,644,2436,2871,177,120,2574,10
125520,5289,4480,115751,107552,3999,3482,100071,8836,639,255,7942,677,39,158,480,2110,213,313,1584,1409,134,0,1275,4936,265,272,4399,5
69329,5747,7549,56033,54985,3739,6190,45056,8937,1416,884,6637,27,7,20,0,1059,176,32,851,1426,324,169,933,2895,85,254,2556,10
7681907,639312,540959,6501636,3131828,188332,181556,2761940,546956,54636,49385,442935,2832121,253382,219141,2359598,650113,91920,55188,503005,214607,22702,17986,173919,306282,28340,17703,260239,10
52272,2013,2886,47373,43543,1367,2354,39822,4282,169,164,3949,30,0,0,30,1772,195,260,1317,462,34,47,381,2183,248,61,1874,5
691959,38307,41374,612278,564159,26082,30239,507838,53779,4662,4340,44777,11575,2513,2478,6584,9397,1570,786,7041,14008,1717,1602,10689,39041,1763,1929,35349,5
993322,63538,72435,857349,788851,41549,50952,696350,98572,7288,8579,82705,36399,8819,7209,20371,11681,1879,1933,7869,17981,2702,1799,13480,39838,1301,1963,36574,5
31293,1338,648,29307,22428,764,508,21156,4082,367,85,3630,214,0,0,214,310,47,0,263,2036,26,0,2010,2223,134,55,2034,5
337261,21958,20812,294491,264267,13719,15419,235129,37815,4568,2676,30571,1748,525,683,540,5276,584,695,3997,4257,730,0,3527,23898,1832,1339,20727,5
239692,14676,13202,211814,201245,11308,10162,179775,22388,1550,1468,19370,1699,248,302,1149,2507,325,871,1311,1795,146,223,1426,10058,1099,176,8783,5
2770650,236102,218872,2315676,2072206,156775,149608,1765823,281588,29666,28076,223846,36432,5633,4346,26453,133784,21396,16187,96201,55540,6825,5681,43034,191100,15807,14974,160319,10
34641,1919,2692,30030,29372,1441,2133,25798,3916,354,295,3267,14,0,14,0,413,119,53,241,525,5,165,355,401,0,32,369,5
50442,2583,2456,45403,37486,1602,1906,33978,5951,280,172,5499,682,151,116,415,1977,321,31,1625,1608,140,115,1353,2738,89,116,2533,5
1215976,88611,92817,1034548,927953,59025,65936,802992,123148,11505,10786,100857,14654,2356,1219,11079,35215,4473,5100,25642,18078,2189,2016,13873,96928,9063,7760,80105,5
29393,3046,2751,23596,26017,2332,2373,21312,2049,296,205,1548,7,7,0,0,290,55,105,130,353,192,0,161,677,164,68,445,10
326319,14788,13964,297567,260567,9571,9153,241843,27081,1182,1952,23947,3501,880,238,2383,11827,1596,1793,8438,4358,527,282,3549,18985,1032,546,17407,5
1348445,131619,119163,1097663,1116844,99854,94155,922835,146700,19571,15497,111632,2580,687,512,1381,27748,5916,3718,18114,15656,2321,2364,10971,38917,3270,2917,32730,10
74862,3354,4020,67488,58747,2018,2508,54221,7854,778,1171,5905,3271,131,0,3140,894,238,255,401,955,35,0,920,3141,154,86,2901,5
37088,2977,2794,31317,32168,1832,2345,27991,2913,541,266,2106,325,305,20,0,757,121,154,482,138,25,0,113,787,153,9,625,10
7351530,315790,282089,6753651,5544326,179983,179867,5184476,595007,39750,34880,520377,464688,35841,29633,399214,241565,29760,17126,194679,125417,12586,7864,104967,380527,17870,12719,349938,5
85098,5578,8139,71381,74140,4652,6558,62930,5085,304,569,4212,503,114,252,137,1034,332,39,663,1260,56,592,612,3076,120,129,2827,5
55256,4972,6189,44095,43999,2876,5079,36044,6648,1259,502,4887,97,0,0,97,2049,765,215,1069,135,0,0,135,2328,72,393,1863,10
